Pergunta;Opções;Resposta;Fonte
You find an interesting visualization using the Python programming language that you want to run in Power BI. What are the three steps required before you can use Python in Power BI?;A. Install Python on your local machine | B. Enable R scripting | C. Install the libraries matplotlib and pandas | D. Enable Python scripting | E. Install the libraries seaborn and keras;"A,C,D
E";Certspilot.pdf
You are asked to optimize the performance of your data model. You have several intermediate queries that are not used for visualization and you have a large transactional table with a Date/Time field. What two optimizations should you do?;A. Change all relationship cross filter directions to single | B. Split the Date/Time field into a separate Date column and a separate Time column | C. Turn off single select on slicers | D. Disable Power Query load on intermediary queries;"B,D
E";Certspilot.pdf
You receive a new table to incorporate into your analysis in Power BI. You use Power Query to preview the data. For each of the following statements, select Yes if the statement is true. Otherwise, select No. www.dumpsgate.com Questions and Answers PDF 10/101;A. Yes / Yes / Yes | B. No / Yes / Yes | C. No / Yes / No | D. No / No / Yes;"B
E";Certspilot.pdf
You are the Power BI administrator at your company which builds VR headsets. You need to assign appropriate workspace roles to your colleagues and must use the lowest permission necessary to accomplish the task. Which roles should you use for the below workspace requirements? 1. Update and delete workspaces 2. Publish apps 3. Publish content to the workspace;A. Member / Member / Contributor | B. Member / Member / Viewer | C. Admin / Member / Contributor | D. Admin / Admin / Contributor;"C
E";Certspilot.pdf
"You have a table of temperatures for various cities. Some cities use Fahrenheit, while others use Celsius. You need to write a DAX expression to create a new column called Category for the following conditions. · If the value is greater than 80 and Units are F, then 'Hot'. Otherwise 'Not Hot' · If the value is greater than 26 and Units are C, then 'Hot'. Otherwise 'Not Hot' Complete the below DAX expression by replacing [VALUE]: Category = [VALUE] ( [VALUE] ( [VALUE] (Temperature[Value] > 80,Temperature[Units]=""F""), [VALUE] (Temperature[Value] > 26,Temperature[Units]=""C"") ),""Hot"",""Not Hot"") www.dumpsgate.com Questions and Answers PDF 11/101";A. SWITCH / AND / OR / AND | B. SWITCH / OR / OR / AND | C. IF / OR / AND / AND | D. IF / AND / OR / AND | E. WHILE / AND / OR / AND;"C
E";Certspilot.pdf
Your boss has scrolled through the Theme Gallery on the website https://community.powerbi.com/. She asks you to use a particular theme for your company's report in Power BI Service. How do you incorporate the theme in your report?;A. Download the JSON file and in Custom Dashboard theme > Upload JSON theme | B. Download the CSS file and in Custom Dashboard theme > Upload CSS theme | C. Download the PNG file and right-click on a tile > Upload PNG theme | D. Download the PDF file and right-click on the dashboard > Upload PDF theme;"A
E";Certspilot.pdf
You are your company's Power BI expert. You know that data lineage shows you which data sources are used by which datasets. One of your colleagues says he cannot access data lineage. What could be two possible explanations for data lineage not working?;A. Only admins can see the lineage view | B. You need a Power BI Pro license to see lineage view | C. Lineage only works for DirectQuery datasets | D. Lineage view is available only to users with higher than Viewer access to the workspace | E. Each user needs to be granted lineage view permission in the tenant settings;"B,D
E";Certspilot.pdf
You have a data set that shows employees and their bosses, as per the exhibit below. There is a field for each Employee called Employee_Name and a field for their boss Parent_Employee_Name. How would you create the Employee_Hierarchy column with a delimited hierarchy list in DAX?;A. PATHITEM(employees[Employee_Name], employees[Parent_Employee_Name]) | B. RELATED(employees[Parent_Employee_Name], employees[Employee_Name]) | C. CONCATENATE(employees[Parent_Employee_Name], employees[Employee_Name]) | D. PATH(employees[Employee_Name], employees[Parent_Employee_Name]);D;Certspilot.pdf
You work for a computer accessories company and your data model contains the following tables: 1. Accessories table: 1k rows that are updated monthly 2. Sales table: 15M rows that are updated regularly with changes that need to be shown immediately 3. Date table: 10k rows that are updated rarely For the three tables ABOVE, which storage mode should you use from the below options? · Import · DirectQuery · Dual;A. Accessories: Import / Sales: DirectQuery / Date: Dual | B. Accessories: Import / Sales: DirectQuery / Date: Import | C. Accessories: DirectQuery / Sales: Import / Date: DirectQuery | D. Accessories: Dual / Sales: Import / Date: DirectQuery;"B
E";Certspilot.pdf
You work for a consulting company that has a contract with a large government department. Part of the requirements for the report is to configure the page for use with a screen reader for sight-impaired users. What should you configure in your report such that the page follows a logical sequence?;A. Bookmarks | B. Tab order | C. Filters on all pages | D. Layer order;"B
E";Certspilot.pdf
You work at a sports betting company and have a table with US soccer scores and a second table with betting odds. Both tables share a common key called GameID. Your boss asks you to create a new combined table. Which transform should you use to create the dataset?;A. Append queries as new | B. Append queries | C. Merge queries as new | D. Merge queries;"C
E";Certspilot.pdf
You work for a transportation company that uses Azure IoT devices to monitor the temperature within containers. The head of Supply Chain has asked you to create a dashboard for the streaming data from the IoT devices and you need to configure Power BI appropriately. For each of the following statements, select Yes is the statement is true. Otherwise, select No. www.dumpsgate.com Questions and Answers PDF 15/101;A. No / Yes / No | B. Yes / Yes / No | C. No / No / Yes | D. No / No / No;"A
E";Certspilot.pdf
You are part of a planning team and are investigating the forecast accuracy across multiple plants, various products and a series of demand types (e.g. stable, seasonal, growing etc.) You use Power BI and know that there is a visual that can help you with the root cause of low forecast accuracy. Which visual should you choose?;A. Waterfall | B. Treemap | C. Key influencers | D. Decomposition tree;"D
E";Certspilot.pdf
"You work for a baseball hat retailer and you need to create a table of the top 3 team names by the total number of transactions. You have a table called Hat Sales and another for Team. Select the proper DAX functions to correctly complete the formula by replacing the [VALUE] field: Top Hat Sales = [VALUE] ( 3, [VALUE] ( HatSales, HatTeams[Team Name], ""Transactions"", COUNT(HatSales[TransactionID]) ), [Transactions],DESC) www.dumpsgate.com Questions and Answers PDF 16/101";A. RANKX - CALCULATE | B. TOPN - CALCULATE | C. FILTER - SUMMARIZE | D. TOPN – SUMMARIZE;"D
E";Certspilot.pdf
You import a large table from Excel into Power BI and you suspect there may be missing data. How would you find the percentage of empty cells in each column?;A. Column quality | B. Column profile | C. Show whitespace | D. Column distribution;"A
E";Certspilot.pdf
You work for a shoe distribution company and your firm uses Power BI for reporting. One of the reports you have created is exported as a PDF so the warehouse staff can check off items on a hard copy. Your company, however, has a policy that all exported reports need to be encrypted. How can you meet this requirement?;A. Use Row Level Security (RLS) | B. Set the PDF options in the tenant settings | C. Configure the dataset build permission security options | D. Use sensitivity labels;"D
E";Certspilot.pdf
You work for a share trading software company and have a dashboard for user trading times. The data set used for the analysis goes back seven years. When the data reloads, it takes excessive time as the full seven years are refreshed. How can you improve the dataset performance?;A. Use an on-premises data gateway | B. Configure incremental refresh in Power BI Desktop and enable it in Power BI service | C. Enable incremental refresh directly in Power BI service | D. Manually refresh the database when users are not active;"B
E";Certspilot.pdf
You are in Power Query Editor and you see the below highlighted in the red box. What data preview option is used to create these charts?;A. Monspaced | B. Column distribution | C. Column quality | D. Column profile;"B
E";Certspilot.pdf
You have a data model with two key tables: Region and Shipping. There is a one-to-many relationship between the Region and the Shipping table. The model also has two row-level security roles named Region_Texas and Shipping_Mode The DAX filters for the two security roles are: · Region_Texas filter is: Region[state] = “Texas” · Shipping_Mode filter is: Shipping[mode] = “Rail” If a manager is a member of both the Region_Texas and Shipping_Mode roles, what will they see in a report using this data model?;A. The user will only see data for the state of Texas | B. The user will only see data for the rail shipping mode | C. The user will see data for which the state is Texas AND the shipping model is rail | D. The user will see data for which the state is Texas OR the shipping mode is rail;"D
E";Certspilot.pdf
You create an R visual in Power BI that has 500,000 rows. You notice that not all the data is shown and a message is displayed on the image. Your boss asks you the cause of this issue. What is the reason not all data is shown?;A. You are using a version prior to 2.0 of the plotly library | B. You are missing an R package | C. The visual has too many rows | D. The resolution is too high;"C
E";Certspilot.pdf
You have one report page with multiple visuals that is running slow, leading to complaints from users. What TWO solutions will help optimize your visuals?;A. Don't use multiple colors on bar charts | B. Apply filters to reduce the max number of items that a visual displays | C. Replace the default visuals with custom visuals | D. Limit the use of bar charts | E. Limit the number of visuals on a particular report page to only what is necessary;"B,E
E";Certspilot.pdf
You are asked to create a category percentage measure that will reflect the values selected when using a slicer. In the output below, you will see that the Bikes category is not selected in the slicer and the category percentage reflects the current filter context. All category percentage values add to 100% of the filter context. You are given a measure that sums the sales called Sales Total. How would you create a category percentage measure in DAX?;A. VAR categoryTotal = CALCULATE([Sales Total],ALL('product'[Category])) | B. VAR categoryTotal = [Sales Total] | C. VAR categoryTotal = CALCULATE([Sales Total],ALLSELECTED('product'[Category])) | D. VAR categoryTotal = CALCULATE([Sales Total],REMOVEFILTERS('product'[Category]));"C
E";Certspilot.pdf
You work for a Japanese auto company whose fiscal year starts April 1. You have a table called Cars with orders for cars. You need to create a common date for a data model using DAX, respecting the fiscal period. How should you create a date table using DAX?;A. CALENDAR(4) | B. CALANDAR( DATE ( 2000,3,1), DATE ( YEAR ( LASTDATE ( Cars[OrderDate] ) ), 31, 3 )) | C. CALANDAR( DATE ( YEAR ( FIRSTDATE ( Cars[OrderDate] ),4,1), DATE ( 2025, 12, 31 )) | D. CALENDARAUTO(3);"D
E";Certspilot.pdf
You work in the spare parts department of an oil and gas company as a BI expert. The company has hundreds of parts, ten years of historic data, and hundreds of different order sizes from suppliers. You create a report in Power BI with aggregations for the following visuals: · A column chart of parts on the axis, but there are too many products showing · A stacked column chart of month number and order type, but too many months show · A histogram of supplier order sizes, but there are too many order sizes You need to combine the data to make the visual more readable. How should you combine the data? Select the GROUPING TYPE for each of the THREE solutions below from top to bottom. 1. Combined the product into categories of product 2. Combine the columns into 3 month number blocks 3. Combine order sizes into 8 groups;A. LIST / BIN / LIST | B. LIST / BIN / BIN | C. BIN / LIST / LIST | D. BIN / LIST / BIN;B;Certspilot.pdf
You are analyzing basketball total points for the NBA for the year 2021. You have a measure [Points Total] which sums up the points and a date table with a year column. How should you complete the below DAX formula to effectively use it independently from any other filters set on the report page? Select the appropriate DAX function in place of [VALUE]. Sales 2021 = CALCULATE( [Points Total], FILTER( [VALUE] ('Date'[Year]), 'Date'[Year] = 2021) );A. PATH | B. ALL | C. ALLEXCEPT | D. RELATED;"B
E";Certspilot.pdf
You want to use insights in Power BI Desktop to understand the increase from one quarter to the next in your sales column chart. Normally you would right-click the appropriate column and click on Analyze > Explain increase. However, this time insights does not appear to be available. What are TWO possible reasons insights is not working?;A. You use hierarchies | B. You use TOPN filters | C. You have filtered measures | D. You use a stacked column chart;"B,C
E";Certspilot.pdf
You work for an aerospace company in their satellite division. You build a workspace called 'satellite apps' in Power BI service that contains several reports and management level apps. You have a new analyst come on board and need to allow them to edit and publish reports. How would you achieve this goal?;A. Configure the security group from Azure Active Directory | B. Add the user as a member in the role section of the 'satellite apps' workspace | C. In Power BI Desktop set Row Level Security (RLS) | D. Within the 'satellite apps' workspace, select update app;"B
E";Certspilot.pdf
You have a line chart that shows units manufactured by month. You want to add the on-time delivery metric for each month when you hover the mouse over a data point. How would you provide the additional piece of data?;A. Add on-time delivery to the drillthrough fields | B. Add the on-time delivery column to the secondary values field | C. Add on-time delivery column to the tooltips field | D. Add the on-time delivery column to the small multiples field;"C
E";Certspilot.pdf
www.dumpsgate.com Questions and Answers PDF 24/101 You create a Power BI report with a line chart as per the below exhibit. How do you add the dotted horizontal line for the mean values?;A. Add a fixed forecast line for the time series in the analytics pane | B. Add an Average line for Sales Total in the analytics pane | C. Add a trend line across years in the analytics pane | D. Add a min line in the analytics pane;"B
E";Certspilot.pdf
You have built several DAX measures. A senior Power BI member of your team asks you to improve the performance and readability of the below DAX expression? How would you achieve this goal? Annual Sales Growth % = DIVIDE( ([Sales] - CALCULATE([Sales], PARALLELPERIOD('Date'[Date], -12, MONTH))), CALCULATE([Sales], PARALLELPERIOD('Date'[Date], -12, MONTH)) ) www.dumpsgate.com Questions and Answers PDF 25/101;A. Replace DIVIDE with a simple divide calculation using the '/' symbol | B. Instead of PARALLELPERIOD(), use DATEADD() | C. Mark date table as date | D. Use VARIABLES and a RETURN statement;"D
E";Certspilot.pdf
You work for a forklift manufacturer. You are building a data model in Power BI and have a sales table as per the below exhibit. Within the sales table, there is a field called Model. How would you complete the DAX expression below to generate a Model table? What would you fill in for the [VALUE] fields starting from left to right? Model Table = [VALUE] ( [VALUE] );A. CALCULATE / Sales[Model] | B. DISTINCT / Sales[Model] | C. CALCULATE / (Sales[Model] , Model = “XPR”) | D. DISTINCT / Sales[Model Desc];"B
E";Certspilot.pdf
You work for an eCommerce company that sells ergonomic office products. You are tasked with creating a Power BI report from your company's transactional sales data in a table called 'ergoSales'. Before you do anything with the data, you want to check that there are no negative amounts in the 'ergoSales'[quantity] field. What is the most efficient way to check your data for negatives before creating the data model?;A. Select Column profile and then click on 'ergoSales'[quantity] | B. Select Column quality and then click on 'ergoSales'[quantity] | C. Click on 'ergoSales'[quantity] and select replace values | D. Create a custom column using a conditional statement to filter negatives out;"A
E";Certspilot.pdf
You work for a diesel engine company as an internal Power BI consultant. You have two tables as per the below exhibit. There are no unique values in either table. However, the tables are related by Model Name. You need to create relationships in the data model to enable a visual containing data from both tables. How would you model these two tables in the most efficient manner? www.dumpsgate.com Questions and Answers PDF 27/101;A. Set the relationship between the two tables as one-to-one | B. Set the relationship between the two tables as many-to-many | C. Create a bridging table using unique IDs and create two one-to-many relationships | D. Set the relationship between the two tables as one-to-many;"B
E";Certspilot.pdf
You work for a manufacturing company with a metric called Supplied in Full on Time (SIFOT). In Power BI, you have built a dashboard to help management keep track of key summary data and metrics. One of your visuals is a gauge chart that shows the SIFOT values. The management team want a notification to www.dumpsgate.com Questions and Answers PDF 28/101 be sent when SIFOT drops below 85%. You need to configure email alerts to management when this happens. Which four actions should you perform to create this alert?;A. Select + Add alert rule, ensure the Active slider is set to On | B. In the alert conditions choose 'below' and enter in a value of 85 | C. Choose More options on the SIFOT gauge visual and select Manage alerts | D. In the dropdown for notification type, select email | E. In the alert conditions choose 'below' and enter in a value of 0.85;A,C,E,;Certspilot.pdf
You are the head of analytics for a software company, and you want to understand the importance of factors that drive sales in your pre-sales team. What visual in Power BI can help you achieve your goal?;A. Custom R Dumbell Plot | B. Q&A | C. Decomposition Tree | D. Key Influencers;"D
E";Certspilot.pdf
You are editing the 'Model' column in a 'product' table Power Query. You need to replace instances of 'LL Road Frame' with 'JJ Roadster' and the previous step is 'Changed Type.' What M code functions would you use for the two [VALUE] fields? www.dumpsgate.com Questions and Answers PDF 29/101;"A. = Table. [VALUE] (#""Changed Type"",""LL Road Frame"",""JJ | B. Roadster"",Replacer. [VALUE],{""Model""}) | C. ReplaceValue / ReplaceText | D. ReplaceRows / ReplaceText | E. ReplaceText / ReplaceValue";"C
E";Certspilot.pdf
You work in the marketing division for a sports apparel company. You have a sales fact table and multiple dimension tables as per the below exhibit. The head of marketing wants to encourage self- service analytics within the company and asks that you set up Q&A in the reports. Which of the following configurations will allow Q&A to work in your data model?;A. Object level security with any type of data source | B. Import | C. Composite models | D. Reporting Services;"B
E";Certspilot.pdf
You have sales data by day in a time series chart and need to produce a 25 day forecast with a 90% confidence interval as per the below exhibit. There are some data anomalies in the last 5 days of data that you want to ignore for the forecast. Select the THREE actions required to create the forecast.;A. Set forecast length to 25 months and ignore last 5 months | B. Go to the analytics pane and under forecast select '+ Add' | C. Set the seasonality interval to 90% and click on apply | D. Set forecast length to 25 points and ignore last 5 points | E. Set the confidence interval to 90% and click on apply;"B,D,E
E";Certspilot.pdf
You have a busy report page called Sales and decide to use a detailed chart in a separate page using the drill through feature. The Sales page shows a visual of total sales by month. When you click on drill through on the sales by month chart, it should redirect to a detail page called Sales Detail that shows sales for the selected month by category. The Sales Detail page should also preserve the filters from the original sales page. What FOUR actions should you perform?;A. On the Sales Detail page, under drill through option add month as the drill through field | B. On the Sales page, under drill through option add month as the drill through field | C. Create a new page called Sales Detail | D. On the Sales Detail page under Drill through, toggle Keep all filters on | E. Create a table visual to show total sales by month and category;"A,C,D,E
E";Certspilot.pdf
You are asked to present your findings on your company's warehousing performance across several years. You have a number of column and line charts and a date slicer. You decide you will create a presentation using Power BI and will create a narrative using the date slicer. What should you do to save the views across different years for your presentation?;A. Create page level filters and create a new groups | B. Filter the charts using the date slicer, then create bookmarks | C. Create drill throughs for each of the warehouse charts | D. Create report level filters and create a new groups;"B
E";Certspilot.pdf
You work in a marketing department as a Power BI professional. You are asked to create three different types of visuals for the marketing department. Which visualization should you use for the below three requirements?;A. 1. Show progress of conversion rates against a target | B. 2. Identify outliers in sentiment scores | C. 3. Show the factors that influence sentiment scores | D. KPI / Waterfall / Treemap | E. Card / Scatter / Funnel;;Certspilot.pdf
You have built a report with multiple visuals for your food manufacturing company. As many senior members are often on the road, they ask that the reports be available for mobile devices. You need to optimize the report for mobile devices for the most critical visuals. Which three things can you do to optimize reports for mobile?;A. Set slicers to be responsive | B. Add the most important visuals to the mobile canvas | C. Set the page size as tablet or smartphone | D. Resize the visuals to fit the mobile canvas | E. Add haptic feedback (vibration) for when a user taps a visual;"A,B,D
E";Certspilot.pdf
You work for a College Football team as a Power BI sports analyst. You have built a report in Power BI Desktop that contains many visuals. The coaching team is pleased with the content of the visuals but wants the colors to match the college's color style guide. What should you do?;A. Adjust the report CSS file | B. Customize the current theme | C. Change the fonts on each text box | D. Change the colors on each visual;"B
E";Certspilot.pdf
You work for a microbrewery as head of data visualization. You have a Power BI data model that relies on several Excel files that reside on your company's internal server. You are emailed a new Excel workbook from the CEO that contains updated data. You place the new Excel workbook on your server and append the text 'v1.2' to the name. For each of the following statements, select Yes if the statement is true. Otherwise, select No.;A. Yes / No / No | B. Yes / No / Yes | C. No / Yes / Yes | D. No / Yes / No;"A
E";Certspilot.pdf
Your company uses Power BI Premium and your manager wants to create printed invoices. However, the reports must fit perfectly on a page. What would you suggest to your manager?;A. Change the page view in Power BI Desktop | B. Use paginated reports | C. Use gridlines and snap to grid | D. Use lock objects;"B
E";Certspilot.pdf
You work in a shoe company's reporting team and have been tasked with building a Power BI report showing procurement analytics. You have an on-premises Microsoft SQL Server database that you use to build the procurement report using a DirectQuery connection. You thoroughly test the report and then upload it to Power BI Service. However, once in Power BI Service, the visualizations no longer work. How would you solve this problem?;A. Change the permissions on your Microsoft SQL Server database | B. Upgrade your Power BI Desktop | C. Install an on-premise data gateway | D. Install Power BI Report Builder;"C
E";Certspilot.pdf
You work as a BI analyst for a software company that allows users to manipulate images online. You have built a report that shows the conversion from free customers to premium customers. Your boss has asked you to provide a filter for the 'marketing' industry. Solution: · Apply a filter on all pages of the report for the 'marketing' industry · Share the report · Mark share report with current filters and slicer options Does this solution meet the requirements?;A. YES | B. NO;"A
E";Certspilot.pdf
CASE 1 You work as a BI analyst for a software company that allows users to manipulate images online. You have built a report that shows the conversion from free customers to premium customers. Your boss has asked you to provide a filter for the 'marketing' industry. Solution: · Create a text parameter for industry · Set the parameter equal to 'marketing' · Create a query parameter on the industry column Does this solution meet the requirements?;A. YES | B. NO;"A
E";Certspilot.pdf
CASE 1 You work as a BI analyst for a software company that allows users to manipulate images online. www.dumpsgate.com Questions and Answers PDF 36/101 You have built a report that shows the conversion from free customers to premium customers. Your boss has asked you to provide a filter for the 'marketing' industry. Solution: · Add a slicer to the report and select the 'marketing' industry · Sync slicers to all relevant pages of the report Does this solution meet the requirements?;A. YES | B. NO;"A
E";Certspilot.pdf
CASE 2 You work for a financial institution, and you have built a data model and report in Power BI desktop. The report ran fine during testing, but when in production, users are complaining of performance issues. How can you improve the model's performance? Solution: Hide intermediate tables in the model view Does this help improve performance?;A. YES | B. NO | C. Explanation: Hiding intermediate tables does not affect the performance of the model. Hiding tables;B;Certspilot.pdf
CASE 2 You work for a financial institution, and you have built a data model and report in Power BI desktop. The report ran fine during testing, but when in production, users are complaining of performance issues. How can you improve the model's performance? Solution: Convert source PO text column into a number by removing prefix, e.g. 'PO12399' to 12399 Does this help improve performance?;A. YES | B. NO | C. Explanation: Removing the PO prefix and converting the column to a whole number reduces the;A;Certspilot.pdf
CASE 2 You work for a financial institution, and you have built a data model and report in Power BI desktop. The report ran fine during testing, but when in production, users are complaining of performance issues. How can you improve the model's performance? Solution: Remove unnecessary columns Does this help improve performance?;A. YES | B. NO | C. Explanation: Removing unnecessary columns reduces the model size and increases performance.;A;Certspilot.pdf
CASE 3 You have the schema for the tables used in a bicycle franchise. In your role as a BI consultant, you have been asked to generate some insights from the data. Company data schema: www.dumpsgate.com Questions and Answers PDF 38/101 You are asked to create a visualization for the sales by product. However, what should you do before creating a relationship?;A. Change the data type of Sales[ProductKey] to fixed decimal | B. Create a calculated column of Product[ProductKey] | C. Change the data type of Product[ProductKey] to whole number | D. Create a measure for the sum of Sales[Order Quantity];"C
E";Certspilot.pdf
CASE 3 You have the schema for the tables used in a bicycle franchise. In your role as a BI consultant, you have been asked to generate some insights from the data. Company data schema: www.dumpsgate.com Questions and Answers PDF 40/101 The product table's color column has abbreviations as well as names. For instance, there is both Black and BLK. What do you need to do to ensure consistency in the color column?;A. Export the table to Excel | B. Use replace values in the transform ribbon in Power Query Editor | C. Edit the source applied step in M code | D. Remove duplicates in Power Query Editor;"B
E";Certspilot.pdf
CASE 3 You have the schema for the tables used in a bicycle franchise. In your role as a BI consultant, you have been asked to generate some insights from the data. Company data schema: www.dumpsgate.com Questions and Answers PDF 41/101 When reviewing the customer table, you find that some of the postcodes appear to be missing. For instance '0800' does not seem to exist. What do you need to do to ensure all the Postcodes from the original data are in your model?;A. Use 'add columns from examples' to fix discrepancies | B. Use 'transform' and then adjust the rounding | C. Go to the transform ribbon and click on 'Use first row as header' | D. Make sure the postcode data type is 'text' and not 'whole number' | E. Explanation: If the original data uses '0' as a prefix for some post codes, converting to a whole;D;Certspilot.pdf
CASE 3 You have the schema for the tables used in a bicycle franchise. In your role as a BI consultant, you have been asked to generate some insights from the data. Company data schema: www.dumpsgate.com Questions and Answers PDF 43/101 You have been asked to add a column for profit, revenue – price. What steps do you need to do to calculate profit in the model?;A. Unpivot the Unit Price column -> Create custom column named Profit -> Set formula Sales Amount | B. Create custom column named Profit -> Set formula Sales Amount – (Order Quantity * UnitPrice) -> | C. Duplicate the Order Quantity Column -> Create a new column and multiply duplicated column by | D. Create a Group By on SalesOrderLineKey -> Sum by Sales Amount and rename Profit -> Subtract;"B
E";Certspilot.pdf
You have some new staff joining your Power BI team. To help them get started in Power BI Desktop, you want to create a way for them to connect to the data sources that you are using on in your project. All they will need to do to connect to the data is enter their user credentials to authenticate. How can you achieve this?;A. Create a dynamic M query | B. Use an Excel Macro to build connections | C. Create a PBIDS file with your key data sources | D. Create a template in lineage view | E. Explanation: You can create a PBIDS file to streamline the experience for new or beginner report;C;Certspilot.pdf
You use an R script to build a custom visual. However, you find that you cannot see data marked 'N/A' and you are getting an error when importing your data as a list. What could be TWO reasons for these issues? www.dumpsgate.com Questions and Answers PDF 44/101;A. 'NA' is transformed into 'NULL' by Power BI | B. You have not used the correct R version | C. Power BI only supports R dataframes | D. You need to first install the library 'tidyr';"A,C
E";Certspilot.pdf
You have an inactive relationship between your date table and your shipping table. How would you use an inactive relationship in a measure?;A. Use the LOOKUPVALUE() function | B. Delete the active relationship and make the new relationship active | C. Use the USERELATIONSHIP() function | D. Change the crossfilter direction to both in the modelling tab | E. Explanation: The USERELATIONSHIP() function specifies an existing relationship to be used in the;C;Certspilot.pdf
Your client has asked you whether you can create data alerts for all of the key visuals on your dashboard. Which two visuals can you NOT create a data alert.;A. Funnel chart | B. KPI chart | C. Stacked column chart | D. Gauge chart | E. Card chart;"A,C
E";Certspilot.pdf
www.dumpsgate.com Questions and Answers PDF 45/101 You build a key influencers visual and you want to see how sales amount is affected by product category and product color. How do you complete the three fields below?;"A. Analyze -> Sales[Sales Quantity]; Explain by -> Product[Category], Product[Color] | B. Analyze -> Sales[Sales Amount]; Expand by -> Product[Category], Product[Model] | C. Analyze -> Sales[Sales Quantity]; Explain by -> Product[Category]; Expand by -> Product[Color] | D. Analyze -> Sales[Sales Amount]; Explain by -> Product[Category], Product[Color] | E. Explanation: As we want to analyze the sales amount, use Sales[Sales Amount] in the analyze well.";D;Certspilot.pdf
